,A,B,C,D,E,F
0,0.7858718609511943,1.2748491793963748,0.6482626457442547,-1.6734474244694582,0.6400571750785323,-0.8611714327633357
1,3.5546723514556295,1.5998577326497352,1.1144647863784702,-0.7034528383027361,-3.1568733322416547,0.31846430775872503
2,4.243575071171124,3.693941309231989,4.769104148805095,-1.1290270234959743,-3.60990335862542,-0.1079883292208405
3,2.3335642244555124,1.1113229941352645,0.9815884892977955,-2.12117336058027,-2.230703303733318,-0.7084161412628309
4,0.2922817725560236,1.2635064014430195,0.8129393887110516,-2.5939402276630803,-0.32978466804076645,-1.5085159629696014
5,-1.4928169914841065,-0.5782852873269654,-2.05747204198933,-2.4841373424494972,4.434630919623867,-0.9079709810738601
6,-0.6656759770211628,0.41109334572483525,-0.6618101645100594,-1.666583069003099,0.31819386287047835,-0.027800780215658724
7,0.27821907982179783,-0.31792284902231527,-0.6872461584912228,-0.5714565540799308,1.0453168554099408,-0.2830323757310784
8,0.4887899655045424,1.0922676186767024,0.23108323348532211,-1.5687106835699554,1.0750294807502359,-0.8366688889248605
9,3.842992725094782,2.1911699722452482,2.011720297155036,-3.289298067003448,-3.0724694310098037,-2.357055689621872
10,3.1686659255019882,3.2304074877044484,3.6502986485305855,-3.809138149100286,-2.1608544139938344,-0.6598976308136005
11,0.4065711717625491,-0.6833113676873924,-1.8475716433395375,-2.560349072733157,3.0514346306114044,-0.6310412538525452
12,-2.0262948757009527,-0.9163275468700492,-2.3989824155254476,-1.4817994272692838,1.1346434056262211,-0.2819068669029127
13,5.64914518736502,2.9202836184913,3.1404921594233626,-1.6196513354059685,-2.420879250165511,-0.04363986305673119
14,0.9039395104015684,1.537813120460621,0.9989244236397538,-3.1641448364342537,-2.261670835806032,-1.5264398056286552
15,0.40456399823835376,1.2523895788607542,1.1830184145672213,-5.015613107344024,-1.5185706831424746,-0.2166159072842611
16,1.350354805000864,1.4848108196043261,1.0953983654758088,0.5474694116211816,-4.591322729153987,-0.09243182136012251
17,2.7276336010485194,2.2599599866206046,2.1973769431671952,-4.36466668692384,-2.6246251240705867,-1.6813566829187334
18,1.9592853838527382,2.250953863218711,1.803755625741322,-1.7999156150343336,-4.595944171982943,-0.8716667562737582
19,5.992473316351763,3.1774163715142505,3.2342031439751775,-4.2073033939114435,-3.1028030822292045,-1.3056168800030648
20,1.5852011403669755,1.5616624708524027,1.065823698370675,-0.5002667529059677,-2.207756236509595,0.30994501018598597
21,3.149197382502704,3.392724739620892,3.4149034270462755,-3.946477206415448,-6.453820991802418,-1.3871058353355061
22,5.315860158622237,3.0087010934009903,2.9355731203132267,-2.200231135117883,-2.969028772000092,-0.18481245159084436
23,1.729264111886787,0.8392760911368532,-0.18570127646216594,-1.6461197899203799,-0.4233525329054907,0.06854457661470867
24,2.36852460534369,1.9079313179955575,2.3311231092419287,-1.968801250600731,-2.754925347825913,-0.9676323423143844
25,1.7744980422526875,1.7925254756646762,1.1897173966206818,-1.4262548721948614,-2.7878201698915954,-0.3327318934772492
26,4.061406869293377,2.828840285968882,2.8167752999295272,-2.287425330555209,-0.950033443313322,-0.280473443358234
27,1.7902280252700105,1.302157328539664,0.94258313645964,0.015275766477407693,1.2974819455663607,0.36516407863923883
28,1.0432159153646785,0.7036479534354626,0.07716662892115678,-2.251568310328135,0.3151220472336065,-0.339871316831293
29,1.3259863601708428,0.9228418114124487,0.20730299311581757,1.011053016471914,1.1563758908106516,-0.9036126373123762
30,-0.3634233128686263,0.5853167902768639,-0.5247232076412605,0.5857131300283913,0.5926090977278108,0.5059167483798778
31,1.6312840929857466,1.8482117656287822,1.4987907646388192,-4.641067736391487,-1.3188830383317773,-0.17222982652551105
32,0.594733290488515,1.0750181472057403,1.0207807675177307,-1.514339710733934,0.5862857212894779,-0.2734572315122276
33,0.35386439986040563,-0.08211136277429898,-0.6487066028617376,-3.3225184297810126,-1.4886455279279485,-1.426455058814884
34,1.9034696987335793,1.1610104896845115,0.7193800936309787,-0.7774147352386114,1.126542693134591,0.9113821341969202
35,0.7964554935684711,1.446458080657723,1.3106345456598514,-4.27753151137753,-1.1442254459902321,-0.8327289098165719
36,0.46887661144509196,0.5524872067581114,0.2936430871333302,-2.302545454645846,-1.7218310678361066,-1.9612800757961648
37,2.8298552567680546,3.382253003089547,3.883740713096386,-1.0671370859040623,-2.5725902868349486,0.46876885953180897
38,1.0094400954994953,2.4220603278598913,1.9403321003312763,-3.5408412811465166,-1.6458720025560472,-1.358247430125299
39,1.4291656812380222,1.1720757862006934,0.6909269861050243,-1.513399593947459,3.00563048231967,-1.210873414038938
40,3.057966099211611,2.4953655102104593,2.7471966434579,-2.3077406184432645,-1.8817854010027726,-1.2049174405434258
41,0.6976536660612225,-0.3339433807236476,-1.404420969756674,-1.7212472849484244,-0.1885008036987419,-0.5591249367048419
42,0.42528408638195003,1.2471440157590121,0.6524215520998492,-1.2810532938380017,-3.0156506352739503,-0.19154763283655307
43,0.3544035712254643,0.4031279756164414,-0.6845802383303883,-2.5123617394397613,0.3647470532875738,-1.538246694020534
44,2.3103124428716497,1.6648158740026402,1.8734058135150025,-2.8415792545575833,-0.6219456847581102,-1.5975032123416921
45,1.8381042539550545,2.604118623366195,2.3088240075465256,-0.8800800997620861,-2.1143452654003214,0.09072485865748414
46,2.2761660305560345,1.7064494024113406,1.734996634187541,-2.885688488088361,-2.806057179097305,-0.9628812323472555
47,1.6449261486105744,1.1319353670216277,1.1169572281330993,-2.8619751795760866,-2.08827126160129,-1.6033856757242824
48,1.261521761185324,2.513245021353883,2.5811874146755693,-2.750625841242538,-2.463040198369323,-1.1773378349017876
49,2.6772832969438167,1.1719898136374947,0.24900925322000678,-3.1918485398274825,-1.4305576246512481,-1.807144392957912
50,6.710731206207833,3.363602628207802,3.5090977536288515,-0.9635918673758028,-3.983595362274277,0.8077616464189727
51,3.025843433122682,1.2031245021739294,1.1036284473796254,-4.240845312513928,-2.0758771697031735,-0.7854011815261515
52,0.7306194291644856,1.6156638132351584,1.1730833359047126,-2.5540045263471978,-0.6133882668755756,-0.5424416868523999
53,3.7682144820876324,1.0652596294485763,1.355209711820577,-3.8224471595615346,-0.049647185762060175,-0.8838427719384092
54,2.1779165344843117,2.662510460138958,2.284971364536915,-2.8314558949307727,-1.0216522988270025,-1.4274105817536753
55,1.9216008499953423,1.2483622263013707,1.0727487113731915,-2.4180280195848196,-0.46081534831634263,-0.9104575705938311
56,3.379613965936144,2.344015836597814,2.484228815219369,-1.3003336744521319,-3.5461380382593033,0.04632203661834533
